income,mean,median,p5,p10,p25,p75,p90,p95,negative_rate_count,negative_rate_pct
62000.0,34.35299999999999,36.93000000000002,19.749999999999865,19.749999999999865,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
62500.0,34.35299999999998,36.93000000000002,19.749999999999815,19.749999999999815,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
63000.0,34.353000000000044,36.93000000000002,19.75000000000027,19.75000000000027,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
63500.0,34.35299999999998,36.93000000000002,19.749999999999815,19.749999999999815,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
64000.0,34.352999999999994,36.93000000000002,19.74999999999991,19.74999999999991,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
64500.0,34.35300000000013,36.930000000000106,19.750000000000185,19.750000000000185,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
65000.0,34.352999999999994,36.93000000000002,19.74999999999991,19.74999999999991,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
65500.0,34.35300000000003,36.93000000000002,19.750000000000185,19.750000000000185,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
66000.0,34.352999999999994,36.93000000000002,19.74999999999991,19.74999999999991,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
66500.0,34.35299999999998,36.93000000000002,19.749999999999815,19.749999999999815,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
67000.0,34.353000000000044,36.93000000000002,19.75000000000027,19.75000000000027,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
67500.0,34.35299999999998,36.93000000000002,19.749999999999815,19.749999999999815,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
68000.0,34.35299999999999,36.93000000000002,19.749999999999865,19.749999999999865,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
68500.0,34.35300000000004,36.93000000000002,19.75000000000023,19.75000000000023,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
69000.0,34.35300000000009,36.930000000000106,19.749999999999865,19.749999999999865,36.930000000000106,36.930000000000106,36.930000000000106,36.930000000000106,0,0.0
69500.0,34.35300000000004,36.93000000000002,19.75000000000023,19.75000000000023,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
70000.0,34.35299999999999,36.93000000000002,19.749999999999865,19.749999999999865,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
70500.0,34.35299999999936,36.92999999999928,19.74999999999986,19.74999999999986,36.92999999999928,36.92999999999928,36.92999999999928,36.92999999999928,0,0.0
71000.0,34.35300000000004,36.93000000000002,19.750000000000224,19.750000000000224,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
71500.0,34.35299999999999,36.93000000000002,19.74999999999986,19.74999999999986,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
72000.0,34.35299999999999,36.93000000000002,19.749999999999865,19.749999999999865,36.93000000000002,36.93000000000002,36.93000000000002,36.93000000000002,0,0.0
72500.0,34.353000000000215,36.930000000000206,19.75000000000027,19.75000000000027,36.930000000000206,36.930000000000206,36.930000000000206,36.930000000000206,0,0.0
73000.0,34.3530000000001,36.93000000000011,19.75,19.75,36.93000000000011,36.93000000000011,36.93000000000011,36.93000000000011,0,0.0
73500.0,34.35300000000017,36.930000000000206,19.75,19.75,36.930000000000206,36.930000000000206,36.930000000000206,36.930000000000206,0,0.0
74000.0,34.3530000000001,36.93000000000011,19.75,19.75,36.93000000000011,36.93000000000011,36.93000000000011,36.93000000000011,0,0.0
74500.0,34.352999999999476,36.92999999999938,19.75,19.75,36.92999999999938,36.92999999999938,36.92999999999938,36.92999999999938,0,0.0
75000.0,47.31380000000004,47.690000000000055,45.181999999999974,45.181999999999974,47.690000000000055,47.690000000000055,47.690000000000055,47.690000000000055,0,0.0
75500.0,49.53000000000007,49.530000000000115,49.52999999999994,49.52999999999994,49.530000000000115,49.530000000000115,49.530000000000115,49.530000000000115,0,0.0
76000.0,49.530000000000165,49.5300000000002,49.52999999999994,49.52999999999994,49.5300000000002,49.5300000000002,49.5300000000002,49.5300000000002,0,0.0
76500.0,49.53000000000007,49.530000000000115,49.52999999999994,49.52999999999994,49.530000000000115,49.530000000000115,49.530000000000115,49.530000000000115,0,0.0
77000.0,49.530000000000115,49.530000000000115,49.530000000000115,49.530000000000115,49.530000000000115,49.530000000000115,49.53000000000029,49.53000000000029,0,0.0
77500.0,49.52999999999954,49.52999999999946,49.52999999999946,49.52999999999946,49.52999999999946,49.52999999999946,49.52999999999994,49.52999999999994,0,0.0
78000.0,49.53000000000007,49.530000000000115,49.52999999999994,49.52999999999994,49.530000000000115,49.530000000000115,49.530000000000115,49.530000000000115,0,0.0
78500.0,49.53000000000011,49.53000000000016,49.52999999999994,49.52999999999994,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,0,0.0
79000.0,49.53000000000011,49.53000000000016,49.52999999999994,49.52999999999994,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,0,0.0
79500.0,49.53000000000017,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000029,49.53000000000029,0,0.0
80000.0,49.529999999999475,49.529999999999376,49.529999999999376,49.529999999999376,49.529999999999376,49.529999999999376,49.52999999999994,49.52999999999994,0,0.0
80500.0,49.53000000000011,49.53000000000016,49.52999999999994,49.52999999999994,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,0,0.0
81000.0,49.53000000000017,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000029,49.53000000000029,0,0.0
81500.0,49.53000000000006,49.53000000000016,49.52999999999957,49.52999999999957,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,0,0.0
82000.0,49.53000000000017,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000016,49.53000000000029,49.53000000000029,0,0.0
