income,income_cents,zorgtoeslag,zorgtoeslag_eligible,huurtoeslag,huurtoeslag_eligible,bijstand,bijstand_eligible,tax,tax_credits,disposable_income,marginal_rate_zorgtoeslag,marginal_rate_huurtoeslag,marginal_rate_bijstand,marginal_rate_tax,marginal_rate_tax_credits,marginal_rate_total
26000.0,2600000,134.92,True,0.0,True,0.0,False,2121.42,7480.38,2124.8016666666663,-0.15833333333335986,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666693
26100.0,2610000,134.76166666666668,True,0.0,True,0.0,False,2164.93,7473.8,2129.3508333333334,-0.15833333333330302,0.0,0.0,43.50999999999976,-6.579999999999927,36.77166666666653
26200.0,2620000,134.60416666666666,True,0.0,True,0.0,False,2208.43,7467.23,2133.9016666666666,-0.15750000000002728,0.0,0.0,43.5,-6.5700000000006185,36.772499999999354
26300.0,2630000,134.44583333333333,True,0.0,True,0.0,False,2251.94,7460.65,2138.4508333333333,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
26400.0,2640000,134.28833333333333,True,0.0,True,0.0,False,2295.45,7454.07,2143.0008333333335,-0.15749999999999886,0.0,0.0,43.50999999999976,-6.579999999999927,36.77249999999984
26500.0,2650000,134.13,True,0.0,True,0.0,False,2338.96,7447.49,2147.55,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
26600.0,2660000,133.97166666666666,True,0.0,True,0.0,False,2382.47,7440.91,2152.0991666666664,-0.15833333333333144,0.0,0.0,43.50999999999976,-6.579999999999927,36.771666666666505
26700.0,2670000,133.81416666666667,True,0.0,True,0.0,False,2425.97,7434.34,2156.65,-0.15749999999999886,0.0,0.0,43.5,-6.569999999999709,36.77250000000029
26800.0,2680000,133.65583333333333,True,0.0,True,0.0,False,2469.48,7427.76,2161.1991666666668,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
26900.0,2690000,133.49833333333333,True,0.0,True,0.0,False,2512.99,7421.18,2165.7491666666665,-0.15749999999999886,0.0,0.0,43.50999999999976,-6.579999999999927,36.77249999999984
27000.0,2700000,133.34,True,0.0,True,0.0,False,2556.5,7414.6,2170.298333333333,-0.15833333333333144,0.0,0.0,43.51000000000022,-6.579999999999927,36.77166666666696
